NAME,ADRESS1,ADDRESS2,ZIP,CITY,TEL,URL,Geometry X Y,Geometry
New York Tolerance Center,50 E 42nd St,,10017,New York,(212) 697-1180,http://www.kintera.org/site/pp.asp?c=fwLYKnN8LzH&b=242506,"40.7524232537, -73.9791241123","{""type"": ""Point"", ""coordinates"": [-73.97912411231837, 40.75242325372978]}"
P.S. 1 Contemporary Art Center,22-25 Jackson Ave.,,11101,Queens,(718) 784-2084,http://www.ps1.org/,"40.7458398025, -73.9462124178","{""type"": ""Point"", ""coordinates"": [-73.94621241781607, 40.74583980252048]}"
Rose Center for Earth and Space (Hayden Planetarium),15 West 81st Street,,10024,New York,(212) 769-5100,http://www.haydenplanetarium.org/index.php,"40.7828601663, -73.9725749109","{""type"": ""Point"", ""coordinates"": [-73.97257491091315, 40.7828601662858]}"
Center For Jewish History,15 W. 16th St.,,10011,New York,(212) 294-8301,http://www.cjh.org,"40.737987098, -73.9938687724","{""type"": ""Point"", ""coordinates"": [-73.99386877243293, 40.737987097959646]}"
American Numismatic Society,75 Varick St,11th Floor,10013,New York,(212) 571-4470,http://www.numismatics.org/,"40.7235269249, -74.0070118795","{""type"": ""Point"", ""coordinates"": [-74.00701187947675, 40.72352692494523]}"
Drawing Center,35 Wooster St.,,10013,New York,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,"40.7224515216, -74.0029041719","{""type"": ""Point"", ""coordinates"": [-74.00290417194354, 40.72245152164433]}"
Hall Of Fame For Great Americans,Hall of Fame Terrace & Sedgwick Avenue,,10453,Bronx,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,"40.8587475032, -73.9139796285","{""type"": ""Point"", ""coordinates"": [-73.91397962854197, 40.858747503194394]}"
Metropolitan Museum of Art (MET),1000 Fifth Avenue,,10028,New York,(212) 535-7710,http://www.metmuseum.org/,"40.7794238752, -73.9634511117","{""type"": ""Point"", ""coordinates"": [-73.96345111167683, 40.779423875206746]}"
Museum of Arts & Design (MAD),2 Columbus Circle,,10019,New York,(212) 299-7777,http://www.madmuseum.org/,"40.7674064074, -73.9820072512","{""type"": ""Point"", ""coordinates"": [-73.98200725119047, 40.76740640743862]}"
Museum Of Chinese In America,215 Centre Street,,10013,New York,(212) 619-4785,http://www.mocanyc.org/,"40.7194542788, -73.9991919188","{""type"": ""Point"", ""coordinates"": [-73.99919191876907, 40.71945427879046]}"
National September 11 Memorial & Museum at the World Trade Center,1 Liberty Plaza,20th Floor,10006,New York,(212) 227-7722,http://www.national911memorial.org/site/PageServer?pagename=New_Home,"40.7096548206, -74.0109156608","{""type"": ""Point"", ""coordinates"": [-74.01091566077586, 40.70965482060665]}"
Rose Museum at Carnegie Hall,154 West 57th Street,,0,New York,(212) 903-9629,http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html,"40.7650126465, -73.9799105035","{""type"": ""Point"", ""coordinates"": [-73.97991050353076, 40.76501264646475]}"
Rubin Museum of Art,150 West 17th Street,,10011,New York,(212) 620-5000,http://www.rmanyc.org/,"40.7400207136, -73.9977915263","{""type"": ""Point"", ""coordinates"": [-73.9977915262889, 40.74002071356372]}"
Sony Wonder Technology Lab,550 Madison Ave,Sony Plaza,10022,New York,(212) 833-8100,http://wondertechlab.sony.com/,"40.7614706339, -73.9735078214","{""type"": ""Point"", ""coordinates"": [-73.973507821432, 40.76147063394868]}"
Theodore Roosevelt Birthplace,28 East 20th Street,,10003,New York,(212) 260-1616,http://www.nps.gov/thrb/index.htm,"40.7386423486, -73.989040853","{""type"": ""Point"", ""coordinates"": [-73.98904085297522, 40.73864234857053]}"
New Museum of Contemporary Art,235 Bowery,,10002,New York,(212) 219-1222,http://www.newmuseum.org/,"40.7223470352, -73.992838793","{""type"": ""Point"", ""coordinates"": [-73.9928387929733, 40.72234703517337]}"
Skyscraper Museum,39 Battery Place,,10280,New York,(212) 968-1961,http://www.skyscraper.org/home.htm,"40.7056578636, -74.0175680689","{""type"": ""Point"", ""coordinates"": [-74.01756806893675, 40.70565786362073]}"
Wyckoff Farmhouse Museum,5816 Clarendon Ave,,11203,Brooklyn,(718) 629-5400,http://www.wyckoffassociation.org/,"40.6443410141, -73.9207962985","{""type"": ""Point"", ""coordinates"": [-73.92079629850517, 40.64434101405975]}"
Children's Museum of the Arts,182 Lafayette Street,,10012,New York,(212) 274-0986,http://cmany.org/intro.php?pn=home,"40.7207498029, -73.9988383606","{""type"": ""Point"", ""coordinates"": [-73.99883836055395, 40.72074980290631]}"
Harbor Defense Museum of Fort Hamilton,230 Sheridan Loop,,11252,Brooklyn,(718) 630-4349,http://www.harbordefensemuseum.com/,"40.6090090013, -74.0323107767","{""type"": ""Point"", ""coordinates"": [-74.03231077674442, 40.609009001342145]}"
Staten Island Museum / Staten Island Institute of Arts & Sciences,75 Stuyvesant Pl.,,10301,Staten Island,(718) 727-1135,http://www.statenislandmuseum.org/,"40.6443695112, -74.0776650638","{""type"": ""Point"", ""coordinates"": [-74.07766506377132, 40.64436951121136]}"
American Folk Art Museum,45 West 53rd Street,,10019,New York,(212) 265-1040,http://www.folkartmuseum.org/,"40.7616253052, -73.9781030211","{""type"": ""Point"", ""coordinates"": [-73.97810302107814, 40.76162530521804]}"
American Immigration History Center,Ellis Island,,0,New York,(212) 363-3200,http://www.ellisisland.org/,"40.6990565957, -74.0396848373","{""type"": ""Point"", ""coordinates"": [-74.03968483725014, 40.699056595683956]}"
American Museum of Natural History,Central Park West at 79th Street,,10024,New York,(212) 769-5100,http://www.amnh.org/,"40.7808265673, -73.9736481647","{""type"": ""Point"", ""coordinates"": [-73.9736481646561, 40.78082656726705]}"
Bartow-Pell Mansion,895 Shore Road,Pelham Bay Park,10464,Bronx,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,"40.871778651, -73.8055794992","{""type"": ""Point"", ""coordinates"": [-73.80557949924192, 40.87177865104398]}"
Children's Museum of Manhattan,212 West 83rd Street,,10024,New York,(212) 721-1234,http://www.cmom.org/,"40.7858712541, -73.9772739202","{""type"": ""Point"", ""coordinates"": [-73.97727392020603, 40.78587125405974]}"
Hispanic Society of America Museum,613 West 155th Street,,10032,New York,(212) 926-2234,http://www.hispanicsociety.org/,"40.8334524805, -73.9468228218","{""type"": ""Point"", ""coordinates"": [-73.94682282183064, 40.83345248046198]}"
Museum of Biblical Art,1865 Broadway,,10023,New York,(212) 408-1200,http://www.mobia.org/,"40.7702527438, -73.9827258427","{""type"": ""Point"", ""coordinates"": [-73.98272584265908, 40.77025274383587]}"
Queens Museum of Art,Queens Museum of Art,Flushing Meadows Corona Park,11368,Queens,(718) 592-9700,http://www.queensmuseum.org/,"40.7458431983, -73.8467627585","{""type"": ""Point"", ""coordinates"": [-73.84676275847491, 40.74584319834269]}"
The Museum at FIT,7th Avenue at West 27th Street,,10001,New York,(212) 217-5800,http://www.fitnyc.edu/306.asp,"40.7470087086, -73.9939296676","{""type"": ""Point"", ""coordinates"": [-73.9939296676437, 40.74700870860592]}"
American Jewish Historical Society,15 W. 16th St.,,10011,New York,(212) 294-6160,http://www.ajhs.org/,"40.7380157179, -73.993928905","{""type"": ""Point"", ""coordinates"": [-73.99392890500013, 40.73801571785089]}"
John J. Harvey Fireboat,Pier 66 at West 26th Street,,10001,New York,,http://www.fireboat.org/,"40.7523305298, -74.0096548377","{""type"": ""Point"", ""coordinates"": [-74.00965483771073, 40.752330529763036]}"
Madame Tussauds Wax Museum,234 W. 42nd Street,,10036,New York,(800) 246-8872,http://www.madametussauds.com/NewYork/,"40.7563184966, -73.9887022618","{""type"": ""Point"", ""coordinates"": [-73.98870226175181, 40.75631849659889]}"
New York Transit Museum,Boerum Pl. & Schermenhorn Street,,0,Brooklyn,(718) 694-4915,http://www.mta.info/mta/museum/,"40.6905240312, -73.9900259714","{""type"": ""Point"", ""coordinates"": [-73.9900259714353, 40.69052403117602]}"
Schomburg Center for Research in Black Culture,515 Malcolm X Boulevard,,10037,New York,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,"40.8146130589, -73.9409907599","{""type"": ""Point"", ""coordinates"": [-73.94099075994437, 40.814613058923925]}"
YIVO Institute for Jewish Research,15 W. 16th St.,,10011,New York,(212) 246-6860,http://www.yivoinstitute.org/,"40.7379602804, -73.9937942712","{""type"": ""Point"", ""coordinates"": [-73.99379427123057, 40.73796028037819]}"
Dia Art Foundation,535 W 22nd Street,,10011,New York,(212) 989 5566,http://www.diacenter.org/,"40.7478952597, -74.0061353768","{""type"": ""Point"", ""coordinates"": [-74.00613537680859, 40.747895259664865]}"
"Cooper-Hewitt, National Design Museum",2 East 91st Street,,10128,New York,(212) 849-8400,http://www.cooperhewitt.org/,"40.7843260739, -73.95778162","{""type"": ""Point"", ""coordinates"": [-73.95778161997623, 40.78432607387857]}"
Ellis Island Museum,Ellis Island,,0,New York,(212) 363-3200,http://www.ellisisland.org/,"40.698207887, -74.0413216172","{""type"": ""Point"", ""coordinates"": [-74.04132161722448, 40.698207887027515]}"
Hudson Waterfront Museum and Showboat Barge,290 Conover St.,,11231,Brooklyn,(718) 624-4719,http://www.waterfrontmuseum.org/,"40.6755722678, -74.0180869422","{""type"": ""Point"", ""coordinates"": [-74.01808694215103, 40.675572267836536]}"
Museum of Modern Art (MoMA),11 West 53rd Street,,10019,New York,(212) 708-9400,http://www.moma.org/,"40.7611869744, -73.9770036308","{""type"": ""Point"", ""coordinates"": [-73.97700363083149, 40.761186974445174]}"
National Academy Museum,1083 5th Avenue,,10128,New York,(212) 369-4880,https://nationalacademy.org/index.asp,"40.7836135004, -73.9584917733","{""type"": ""Point"", ""coordinates"": [-73.95849177332464, 40.78361350036915]}"
New York City Fire Museum,278 Spring Street,,10012,New York,(212) 691-1303,http://www.nycfiremuseum.org/,"40.7255721391, -74.0069342612","{""type"": ""Point"", ""coordinates"": [-74.00693426116919, 40.72557213907748]}"
Scandinavia House: The Nordic Center in America,58 Park Ave.,,10016,New York,(212) 879-9779,http://www.scandinaviahouse.org/,"40.7494472293, -73.980088435","{""type"": ""Point"", ""coordinates"": [-73.98008843499025, 40.74944722933135]}"
The Jewish Children's Museum,792 Eastern Pkwy,,11213,Brooklyn,(718) 467-0600,http://www.jcmonline.org/,"40.6689119106, -73.9419617694","{""type"": ""Point"", ""coordinates"": [-73.94196176941345, 40.66891191064481]}"
Whitney Museum of American Art,945 Madison Ave.,,10021,New York,1 (800) WHITNEY,http://www.whitney.org/,"40.7734076268, -73.9638343463","{""type"": ""Point"", ""coordinates"": [-73.96383434630908, 40.77340762678988]}"
Brooklyn Historical Society,128 Pierrepont Street,,11201,Brooklyn,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,"40.6948033079, -73.9924054041","{""type"": ""Point"", ""coordinates"": [-73.99240540407605, 40.694803307889096]}"
Lefferts Historic House,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,11215,Brooklyn,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,"40.6643802892, -73.9638141604","{""type"": ""Point"", ""coordinates"": [-73.96381416036222, 40.66438028917144]}"
Neue Galerie New York,1048 Fifth Avenue,,10028,New York,(212) 628-6200,http://www.neuegalerie.org/,"40.7812426686, -73.960248125","{""type"": ""Point"", ""coordinates"": [-73.96024812498372, 40.781242668597585]}"
Ukrainian Museum,222 East 6th Street,,10003,New York,(212) 228-0110,http://www.ukrainianmuseum.org/,"40.7276771213, -73.9897570306","{""type"": ""Point"", ""coordinates"": [-73.98975703063918, 40.72767712127481]}"
Museum of Jewish Heritage,36 Battery Place,,10280,New York,(646) 437-4200,http://www.mjhnyc.org/index.htm,"40.7059869807, -74.0185857171","{""type"": ""Point"", ""coordinates"": [-74.01858571714082, 40.70598698070255]}"
Noble Maritime Collection,1000 Richmond Terrace,,10301,Staten Island,(718) 447-6490,http://www.noblemaritime.org/,"40.6443122771, -74.1017720374","{""type"": ""Point"", ""coordinates"": [-74.101772037418, 40.644312277111986]}"
Holocaust Museum & Studies Center,75 W 205th St,,10468,Bronx,(718) 817-7700,http://www.holocauststudies.org/,"40.8783581982, -73.8909878428","{""type"": ""Point"", ""coordinates"": [-73.89098784283453, 40.87835819820909]}"
Italian American Museum,155 Mulberry St.,,10013,New York,(212) 965-9000,http://www.italianamericanmuseum.org/,"40.7191949622, -73.9974941069","{""type"": ""Point"", ""coordinates"": [-73.9974941068667, 40.71919496215277]}"
Nicholas Roerich Museum,319 West 107 Street,,10025,New York,(212) 864-7752,http://www.roerich.org/,"40.8029143332, -73.9690224969","{""type"": ""Point"", ""coordinates"": [-73.96902249687837, 40.80291433322502]}"
Americas Society,680 Park Ave.,,10021,New York,(212) 249-8950,http://as.americas-society.org/,"40.7688245629, -73.9659704513","{""type"": ""Point"", ""coordinates"": [-73.96597045126353, 40.76882456292171]}"
Cloisters,99 Margaret Corbin Drive,,10040,New York,(212) 923-3700,http://www.metmuseum.org/cloisters/,"40.8649239683, -73.9317340861","{""type"": ""Point"", ""coordinates"": [-73.9317340861022, 40.86492396833735]}"
Dyckman Farmhouse,4881 Broadway,,10034,New York,(212) 304-9422,http://www.dyckmanfarmhouse.org/,"40.8671312543, -73.9238391467","{""type"": ""Point"", ""coordinates"": [-73.92383914671588, 40.86713125425253]}"
Jeffrey's Hook lighthouse (Little Red Lighthouse),178th Street at the Hudson River,,10033,New York,(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,"40.8502203687, -73.9469449462","{""type"": ""Point"", ""coordinates"": [-73.94694494618321, 40.85022036868946]}"
Mexican Cultural Institute of New York,27 E. 39th St.,,10016,New York,(212) 217-6422,http://www.lavitrina.com/,"40.7507847003, -73.9798811788","{""type"": ""Point"", ""coordinates"": [-73.97988117875703, 40.75078470027008]}"
Museum of Comic and Cartoon Art (MoCCA),594 Broadway,Suite 401,10012,New York,(212) 254 3511,http://www.moccany.org/,"40.7247982798, -73.9967024766","{""type"": ""Point"", ""coordinates"": [-73.9967024765563, 40.724798279821165]}"
National Museum of the American Indian,1 Bowling Green,,10004,New York,(212) 514-3700,http://www.nmai.si.edu/,"40.7043215906, -74.0137270466","{""type"": ""Point"", ""coordinates"": [-74.0137270465804, 40.7043215906178]}"
Old Stone House,326 5th Avenue,,11215,Brooklyn,(718) 768-3195,http://www.theoldstonehouse.org/,"40.6729938058, -73.9846186155","{""type"": ""Point"", ""coordinates"": [-73.98461861546049, 40.67299380582418]}"
Solomon R. Guggenheim Museum,1071 Fifth Avenue,,10128,New York,(212) 423-3500,http://www.guggenheim.org/,"40.783009809, -73.9589110196","{""type"": ""Point"", ""coordinates"": [-73.95891101960447, 40.78300980904582]}"
Yeshiva University Museum,15 W. 16th St.,,10011,New York,(212) 294-8330,http://www.yumuseum.org/,"40.7380460176, -73.9938173701","{""type"": ""Point"", ""coordinates"": [-73.99381737007609, 40.73804601760068]}"
Brooklyn Children's Museum,145 Brooklyn Avenue,,11213,Brooklyn,(718) 735-4400,http://www.brooklynkids.org/,"40.6745073301, -73.9440160136","{""type"": ""Point"", ""coordinates"": [-73.94401601362361, 40.6745073301372]}"
